tags,hasConnection,level1_tags,coded_tags,idauthor
"['I', 'K', 'J', 'D']",['p00626'],"['K', 'J', 'I', 'D', 'C']",[0 0 1 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0],p00298
"['I', 'H', 'J', 'D']","['p01949', 'p00687', 'p01157', 'p03294']","['A', 'K', 'L', 'Z', 'E', 'F', 'C', 'J', 'M', 'I', 'H', 'D', 'R', 'O']",[1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1],p00299
"['L', 'Z', 'H', 'D', 'C']","['p01039', 'p03910', 'p01578', 'p03754', 'p03714', 'p02624']","['P', 'L', 'Q', 'Z', 'C', 'J', 'H', 'D', 'O']",[0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1],p00300
"['L', 'F', 'G', 'H', 'D', 'O']","['p01601', 'p02911']","['L', 'F', 'G', 'H', 'D', 'O']",[0 0 0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0],p00303
['J'],['p04544'],"['L', 'E', 'J', 'M', 'G', 'D']",[0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 0 0 0 0],p00304
"['E', 'H', 'F', 'D']","['p01655', 'p03029']","['P', 'L', 'E', 'F', 'C', 'J', 'I', 'H', 'D', 'O']",[0 0 1 1 1 1 0 1 1 1 0 1 0 0 1 1 0 0 0],p00305
"['G', 'D']",['p02026'],"['G', 'A', 'D', 'C']",[1 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00306
"['H', 'J']","['p04797', 'p01005']","['H', 'J']",[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0],p00307
"['G', 'D']","['p03548', 'p02721']","['G', 'D']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p00308
"['G', 'E']","['p00051', 'p02035']","['E', 'F', 'G', 'H', 'D']",[0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],p00309
['J'],"['p00252', 'p02755', 'p04369']","['L', 'E', 'C', 'J', 'D', 'R', 'O']",[0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0],p00311
"['L', 'E', 'F', 'D', 'O']","['p02850', 'p02374', 'p02222']","['L', 'E', 'F', 'D', 'O']",[0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0],p00312
