tags,hasConnection,level1_tags,coded_tags,idauthor
"['L', 'Q', 'P', 'Z', 'G', 'C', 'J', 'I', 'H', 'D', 'O']","['p04643', 'p04458', 'p04636', 'p03332', 'p03699', 'p03405', 'p03161', 'p00744', 'p02701', 'p03684', 'p04102', 'p01501', 'p04230', 'p00009', 'p03578', 'p05032', 'p00497', 'p04862', 'p04285', 'p04249', 'p02437', 'p03222', 'p05489', 'p03911', 'p04382', 'p04809']","['A', 'K', 'P', 'L', 'Q', 'Z', 'E', 'F', 'N', 'I', 'J', 'M', 'O', 'G', 'H', 'D', 'R', 'C']",[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p01602
"['E', 'F', 'N', 'D', 'R']","['p02289', 'p00787', 'p03016', 'p02090', 'p02981']","['L', 'E', 'F', 'N', 'J', 'M', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 0 1 0 1 1 1 0 0 0 1 0],p01604
"['F', 'N', 'J', 'G', 'H', 'D', 'C']","['p04976', 'p00470', 'p05091']","['A', 'K', 'L', 'P', 'E', 'F', 'N', 'C', 'J', 'M', 'G', 'H', 'D', 'O']",[1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0],p01605
"['J', 'O']","['p03673', 'p02032']","['J', 'O']",[0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0],p01606
"['I', 'H', 'D']",['p03154'],"['I', 'J', 'G', 'H', 'D']",[0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0],p01607
"['E', 'D', 'C']",[],"['E', 'D', 'C']",[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01609
"['J', 'H', 'D']","['p03549', 'p00074', 'p00751', 'p03137', 'p00182']","['H', 'J', 'D']",[0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0],p01610
"['G', 'E', 'J']",['p04284'],"['G', 'E', 'J']",[0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0],p01611
"['G', 'J', 'D']","['p04317', 'p01428']","['L', 'E', 'N', 'J', 'G', 'D', 'R']",[0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 1 0],p01615
['G'],"['p05397', 'p05524', 'p04095']","['L', 'E', 'F', 'J', 'G', 'D', 'C']",[0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0],p01617
"['G', 'D']","['p02860', 'p04807']","['G', 'I', 'D', 'C']",[0 0 1 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0],p01618
"['K', 'L', 'I', 'G', 'H', 'D', 'O']","['p02743', 'p02692', 'p05286', 'p00999', 'p00961']","['K', 'L', 'I', 'G', 'H', 'D', 'O']",[0 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0],p01620
"['E', 'H', 'F', 'D']","['p05435', 'p03419']","['L', 'E', 'F', 'J', 'G', 'H', 'D', 'O']",[0 0 0 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0],p01622
"['D', 'C']",['p04125'],"['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01623
['G'],"['p03501', 'p05287']","['A', 'Z', 'B', 'J', 'G', 'D', 'C']",[1 1 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1],p01627
"['I', 'N', 'J', 'R']","['p01060', 'p04830', 'p03232']","['L', 'E', 'I', 'N', 'J', 'M', 'G', 'H', 'D', 'R']",[0 0 0 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 0],p01629
"['E', 'F']","['p00690', 'p00010', 'p03132']","['E', 'F', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0],p01634
"['C', 'J', 'M', 'D']","['p03037', 'p04275', 'p01109']","['Z', 'J', 'M', 'D', 'C']",[0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1],p01638
"['C', 'J', 'D']",['p03598'],"['E', 'F', 'N', 'O', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 1 1 0 1 1 1 0 0 0 1 1 0 0 0 0],p01639
"['L', 'N', 'J', 'I', 'O']","['p04252', 'p00122', 'p00776', 'p00129']","['K', 'L', 'N', 'J', 'I', 'D', 'O']",[0 0 0 1 0 0 0 0 1 1 1 1 0 1 1 0 0 0 0],p01641
"['L', 'J', 'G', 'D', 'C']","['p03924', 'p01969', 'p03256', 'p03260']","['A', 'L', 'Z', 'E', 'F', 'O', 'J', 'M', 'G', 'H', 'D', 'C']",[1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 0 0 0 1],p01642
"['E', 'J', 'L', 'D']","['p02402', 'p04300', 'p01935', 'p01762', 'p02470']","['K', 'L', 'P', 'Z', 'E', 'N', 'O', 'J', 'D', 'C']",[0 0 1 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0 1],p01643
['J'],['p02402'],"['E', 'C', 'J', 'O']",[0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0],p01644
"['E', 'F']","['p01716', 'p03337', 'p03336']","['L', 'E', 'F', 'D', 'R']",[0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0],p01645
"['E', 'D', 'C']","['p04296', 'p03542', 'p04921', 'p00108']","['L', 'Z', 'E', 'D', 'C']",[0 0 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1],p01646
"['Z', 'J', 'O']",['p01176'],"['Z', 'E', 'N', 'J', 'I', 'H', 'D', 'O']",[0 0 0 1 1 0 0 1 1 1 0 0 0 1 1 0 0 0 1],p01647
"['G', 'L']",['p01143'],"['G', 'L']",[0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01648
['E'],"['p00101', 'p04901', 'p04602']","['K', 'Z', 'B', 'E', 'F', 'N', 'J', 'H', 'D', 'R', 'O']",[0 1 0 1 1 1 0 1 0 1 1 0 0 1 1 0 0 1 1],p01649
['E'],"['p01879', 'p02057']","['E', 'F', 'C', 'G', 'H', 'D', 'O']",[0 0 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0 0 0],p01651
"['G', 'E', 'D', 'C']","['p01047', 'p00833', 'p04418']","['L', 'E', 'J', 'G', 'D', 'C']",[0 0 1 1 1 0 1 0 0 1 0 1 0 0 0 0 0 0 0],p01653
"['G', 'F', 'E', 'D']","['p01334', 'p05435', 'p02689']","['L', 'G', 'E', 'F', 'J', 'I', 'H', 'D', 'O']",[0 0 0 1 1 1 1 1 1 1 0 1 0 0 1 0 0 0 0],p01654
"['P', 'L', 'E', 'F', 'C', 'J', 'H', 'D', 'O']","['p03029', 'p05030', 'p05669', 'p00305', 'p02608', 'p03550', 'p01145', 'p04276', 'p03697', 'p01350', 'p04612', 'p02745', 'p03598']","['K', 'L', 'P', 'Q', 'Z', 'E', 'F', 'N', 'I', 'J', 'M', 'O', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p01655
"['G', 'D', 'C']","['p05315', 'p05513']","['G', 'D', 'C']",[0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01659
"['E', 'J', 'G', 'H', 'D']","['p05252', 'p00758', 'p01240', 'p02268', 'p04814', 'p03902']","['K', 'L', 'E', 'F', 'I', 'C', 'J', 'M', 'G', 'H', 'D', 'O']",[0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0],p01660
"['G', 'K', 'L', 'O']","['p03370', 'p02124', 'p00338']","['G', 'K', 'L', 'O']",[0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0 0 0 0],p01661
"['E', 'F']",['p03241'],"['E', 'F', 'N', 'J', 'O']",[0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 0 0 0],p01662
['C'],['p04232'],"['G', 'F', 'C']",[0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p01663
"['H', 'D']","['p01897', 'p00229']","['Z', 'H', 'D']",[0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1],p01664
"['L', 'C']",['p01462'],"['L', 'C']",[0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p01666
"['B', 'D']","['p01518', 'p00934']","['B', 'D', 'C']",[0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01667
"['H', 'F']","['p00101', 'p02180']","['K', 'Z', 'B', 'E', 'F', 'N', 'J', 'H', 'D', 'R', 'O']",[0 1 0 1 1 1 0 1 0 1 1 0 0 1 1 0 0 1 1],p01668
['F'],['p01407'],['F'],[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],p01670
"['D', 'L']","['p00646', 'p02646']","['D', 'L']",[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p01671
['D'],"['p01452', 'p00391', 'p02104']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01672
['D'],['p01720'],['D'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01673
"['H', 'D', 'C']",['p04299'],"['H', 'D', 'C']",[0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],p01675
"['G', 'E', 'H', 'D']","['p01334', 'p03093', 'p05534', 'p02097']","['E', 'I', 'G', 'H', 'D']",[0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0],p01677
"['G', 'I', 'J', 'D']",['p02990'],"['E', 'I', 'J', 'G', 'H', 'D']",[0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0],p01679
"['F', 'D', 'L']","['p05168', 'p04327']","['K', 'L', 'E', 'F', 'J', 'M', 'G', 'D', 'O']",[0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0],p01680
"['E', 'L', 'D', 'R']","['p05030', 'p02018', 'p05260', 'p04860']","['L', 'E', 'F', 'N', 'J', 'D', 'R', 'O']",[0 0 0 1 1 1 0 0 0 1 0 1 0 1 1 0 0 1 0],p01683
"['L', 'F', 'J', 'D', 'R']","['p05030', 'p03219', 'p01599']","['P', 'L', 'E', 'F', 'N', 'J', 'H', 'D', 'R', 'O']",[0 0 0 1 1 1 0 1 0 1 0 1 0 1 1 1 0 1 0],p01685
"['H', 'D', 'O']","['p01991', 'p05318', 'p04602']","['A', 'E', 'F', 'H', 'D', 'O']",[1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 0],p01686
"['G', 'F']",['p00777'],"['G', 'F']",[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p01687
"['G', 'E', 'J', 'D']","['p05375', 'p02103', 'p04578', 'p01738', 'p03258']","['E', 'F', 'J', 'G', 'D', 'C']",[0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0],p01688
"['G', 'F', 'E', 'O']","['p00106', 'p02371']","['G', 'F', 'E', 'O']",[0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0],p01689
"['H', 'R']","['p04563', 'p02765', 'p04110']","['K', 'L', 'J', 'H', 'R', 'C']",[0 0 1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0],p01690
"['G', 'D', 'L']","['p01363', 'p05059', 'p00188']","['L', 'E', 'F', 'N', 'J', 'M', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 0 1 0 1 1 1 0 0 0 1 0],p01691
"['E', 'F', 'J', 'R', 'O']","['p03219', 'p04308', 'p03629', 'p01599']","['P', 'L', 'E', 'F', 'J', 'H', 'D', 'R', 'O']",[0 0 0 1 1 1 0 1 0 1 0 1 0 0 1 1 0 1 0],p01692
"['Z', 'D', 'L', 'C']","['p00279', 'p04744', 'p03578', 'p03157']","['A', 'K', 'P', 'L', 'Z', 'F', 'C', 'J', 'G', 'H', 'D', 'O']",[1 0 1 1 0 1 1 1 0 1 1 1 0 0 1 1 0 0 1],p01693
"['E', 'J', 'D', 'R', 'C']","['p02870', 'p05448', 'p03738', 'p02277', 'p00194', 'p02855', 'p00964', 'p01019', 'p02454']","['E', 'C', 'J', 'H', 'D', 'R', 'O']",[0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0],p01694
"['K', 'Z', 'E', 'F', 'H', 'D', 'R', 'O']","['p01267', 'p04354']","['K', 'L', 'Q', 'Z', 'E', 'F', 'O', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 1],p01695
['E'],['p04776'],['E'],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01699
"['Z', 'D', 'C']","['p00596', 'p02213', 'p04510']","['Z', 'H', 'D', 'C']",[0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1],p01700
"['I', 'H', 'L']",['p03444'],"['K', 'L', 'I', 'G', 'H', 'O']",[0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 0 0],p01701
"['J', 'C']","['p05104', 'p02301']","['F', 'C', 'J', 'I', 'D', 'O']",[0 0 1 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0],p01703
"['K', 'L', 'I', 'G', 'H', 'R', 'O']","['p03921', 'p04368', 'p04377', 'p02004', 'p00314', 'p01041', 'p04904']","['K', 'P', 'L', 'I', 'N', 'O', 'J', 'M', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 0],p01705
"['G', 'D', 'M', 'C']","['p03971', 'p03171', 'p00747']","['K', 'P', 'Q', 'Z', 'I', 'N', 'C', 'J', 'M', 'G', 'D', 'O']",[0 0 1 1 0 0 1 0 1 1 1 0 1 1 1 1 1 0 1],p01707
"['K', 'D', 'C']",[],"['K', 'D', 'C']",[0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0],p01708
"['G', 'I']","['p02860', 'p04101']","['G', 'I', 'N', 'D']",[0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0],p01711
"['P', 'E', 'J', 'M', 'H', 'D', 'C']","['p00807', 'p03916', 'p02244', 'p00170']","['P', 'Q', 'E', 'F', 'C', 'J', 'M', 'H', 'D', 'O']",[0 0 1 1 1 1 0 1 0 1 0 0 1 0 1 1 1 0 0],p01712
"['H', 'D', 'L', 'M']","['p03637', 'p00949', 'p02726']","['L', 'M', 'G', 'H', 'D']",[0 0 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0],p01714
"['D', 'C']",['p00604'],"['F', 'D', 'C']",[0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],p01715
['E'],"['p03337', 'p01645']","['L', 'E', 'F', 'D', 'R']",[0 0 0 1 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0],p01716
['I'],"['p01888', 'p03290']","['I', 'C']",[0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],p01719
['D'],['p01673'],['D'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01720
['E'],['p05036'],"['G', 'E']",[0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01722
"['I', 'H', 'D']",['p02466'],"['E', 'J', 'I', 'H', 'D', 'C']",[0 0 1 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0],p01723
"['G', 'D', 'C']","['p05165', 'p03182', 'p00459', 'p02805']","['A', 'L', 'B', 'E', 'G', 'D', 'C']",[1 1 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01725
"['D', 'J', 'M', 'O']",['p03764'],"['O', 'J', 'M', 'D']",[0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0],p01726
"['I', 'J']","['p03961', 'p01541', 'p03332']","['I', 'J', 'C']",[0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p01727
"['E', 'G', 'H', 'D', 'C']","['p03521', 'p03174', 'p01030']","['E', 'F', 'J', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0 1 0],p01729
"['Q', 'E', 'F', 'C', 'J', 'G', 'D', 'O']","['p05478', 'p03921', 'p03543', 'p02371', 'p02297', 'p01350']","['K', 'L', 'Q', 'Z', 'E', 'F', 'N', 'I', 'J', 'M', 'O', 'G', 'H', 'D', 'R', 'C']",[0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1],p01730
"['G', 'H', 'I']",[],"['G', 'H', 'I']",[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0],p01732
['J'],"['p00055', 'p01169']","['E', 'J', 'I', 'H', 'D']",[0 0 0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0],p01733
"['Z', 'K', 'D', 'P']","['p04599', 'p03403', 'p04318']","['Z', 'K', 'D', 'P']",[0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1],p01734
"['Z', 'N', 'J', 'G', 'D']","['p03731', 'p03344']","['L', 'Z', 'E', 'N', 'J', 'G', 'D']",[0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 1],p01735
"['D', 'C']","['p03765', 'p01834', 'p03605']","['A', 'Z', 'B', 'J', 'M', 'D', 'C']",[1 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1],p01736
"['E', 'L']",['p04009'],"['L', 'B', 'E', 'J', 'H', 'D']",[0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 0 0],p01737
"['E', 'F', 'J', 'C']","['p01688', 'p02103', 'p05488', 'p03258']","['E', 'F', 'J', 'G', 'D', 'C']",[0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0],p01738
"['D', 'L', 'C']",['p04104'],"['D', 'L', 'C']",[0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p01739
['H'],['p01991'],"['A', 'E', 'H', 'D', 'O']",[1 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0],p01740
"['D', 'C']","['p02565', 'p03543', 'p02144']","['L', 'Q', 'E', 'F', 'J', 'G', 'D', 'C']",[0 0 1 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0],p01742
"['P', 'O', 'G', 'H', 'D', 'R', 'C']","['p00101', 'p05318', 'p03558', 'p02188', 'p00239', 'p01553', 'p04115', 'p05082', 'p04276', 'p00827', 'p03405', 'p00234', 'p01215', 'p00520']","['K', 'P', 'L', 'Q', 'Z', 'B', 'G', 'E', 'F', 'N', 'O', 'J', 'M', 'I', 'H', 'D', 'R', 'C']",[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p01743
"['D', 'L']","['p02894', 'p05586']","['G', 'D', 'L', 'M']",[0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0],p01745
"['D', 'Q', 'J', 'O']","['p04398', 'p01290']","['A', 'Q', 'Z', 'C', 'J', 'I', 'H', 'D', 'O']",[1 0 1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 1],p01747
"['G', 'F', 'D', 'C']","['p05332', 'p00990', 'p04150', 'p01860', 'p05254']","['G', 'F', 'D', 'C']",[0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p01748
"['F', 'J', 'L']","['p00744', 'p02685', 'p04726', 'p03405']","['L', 'G', 'E', 'F', 'C', 'J', 'M', 'I', 'H', 'D', 'R', 'O']",[0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 0 1 0],p01749
['G'],[],['G'],[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01750
"['G', 'F']","['p05002', 'p05309']","['G', 'F']",[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p01752
"['F', 'O']",['p00438'],"['F', 'O']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0],p01753
"['P', 'L', 'E', 'J', 'O']","['p01918', 'p05604', 'p00161', 'p02769']","['L', 'P', 'E', 'F', 'I', 'J', 'M', 'G', 'H', 'D', 'O']",[0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0],p01754
"['E', 'J', 'D']",['p04888'],"['E', 'J', 'D']",[0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0],p01756
"['G', 'L', 'M']","['p02924', 'p01127', 'p03822']","['L', 'F', 'M', 'G', 'H']",[0 0 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 0 0],p01758
['E'],"['p01070', 'p04129']","['L', 'E', 'J', 'M', 'H', 'D', 'R', 'O']",[0 0 0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0],p01760
"['F', 'N', 'D', 'O']","['p03498', 'p04306', 'p00909']","['F', 'N', 'C', 'J', 'I', 'D', 'O']",[0 0 1 1 0 1 0 0 1 1 0 0 0 1 1 0 0 0 0],p01761
['J'],"['p02470', 'p02402', 'p01643']","['L', 'E', 'C', 'J', 'D', 'O']",[0 0 1 1 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0],p01762
"['G', 'E', 'D', 'L']",['p03159'],"['G', 'E', 'D', 'L']",[0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01763
"['L', 'E', 'F', 'J', 'M', 'G', 'R']","['p00543', 'p02173', 'p05111']","['L', 'Q', 'G', 'E', 'F', 'C', 'J', 'M', 'I', 'H', 'D', 'R', 'O']",[0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0],p01766
['D'],"['p05223', 'p00275']","['G', 'D', 'L', 'C']",[0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01767
"['D', 'C']","['p02396', 'p04394']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01769
"['D', 'C']","['p04670', 'p04229']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01771
"['J', 'O']","['p01157', 'p04502']","['L', 'E', 'F', 'J', 'I', 'H', 'D', 'R', 'O']",[0 0 0 1 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0],p01773
['D'],"['p03501', 'p01857', 'p02549', 'p04145']","['A', 'L', 'Z', 'B', 'J', 'G', 'D', 'C']",[1 1 1 1 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1],p01775
"['C', 'J', 'I', 'D', 'O']",[],"['C', 'J', 'I', 'D', 'O']",[0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0],p01776
"['E', 'J', 'G', 'D', 'C']","['p00235', 'p01361', 'p05605', 'p00678', 'p05548', 'p04056', 'p05680', 'p02158', 'p02538', 'p05221', 'p03361']","['L', 'E', 'C', 'J', 'G', 'D', 'O']",[0 0 1 1 1 0 1 0 0 1 0 1 0 0 1 0 0 0 0],p01777
"['E', 'D']",['p04375'],"['E', 'D']",[0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01779
"['L', 'Q', 'F', 'O', 'G', 'D', 'C']","['p03117', 'p04012', 'p02036', 'p05067', 'p04320']","['L', 'Q', 'E', 'F', 'C', 'G', 'D', 'O']",[0 0 1 1 1 1 1 0 0 0 0 1 0 0 1 0 1 0 0],p01780
"['F', 'O']","['p04645', 'p00004']","['E', 'F', 'N', 'G', 'D', 'O']",[0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0],p01781
"['R', 'D', 'L', 'Q']","['p03597', 'p04836', 'p02287']","['R', 'D', 'L', 'Q']",[0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0],p01783
['G'],['p01374'],"['G', 'D']",[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01784
['R'],"['p04445', 'p05257']","['I', 'J', 'R', 'D']",[0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0],p01785
"['D', 'C']",['p02420'],"['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01789
"['J', 'I', 'H', 'D', 'C']","['p00690', 'p00490', 'p05203', 'p03132']","['E', 'F', 'C', 'J', 'I', 'H', 'D', 'O']",[0 0 1 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0],p01792
"['F', 'D', 'L']",['p02336'],"['L', 'Q', 'F', 'M', 'D', 'O']",[0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 0 0],p01793
"['G', 'E']","['p04745', 'p05539']","['G', 'E']",[0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01794
"['K', 'P', 'J', 'H', 'D', 'O']","['p04023', 'p01582', 'p00998', 'p01522', 'p02557', 'p05338']","['K', 'P', 'E', 'N', 'C', 'J', 'H', 'D', 'O']",[0 0 1 1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 0],p01795
"['G', 'F', 'K']",['p04327'],"['K', 'L', 'E', 'F', 'J', 'M', 'G', 'D', 'O']",[0 0 0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0],p01797
['L'],['p03105'],"['H', 'L', 'O']",[0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0],p01798
"['D', 'C']","['p05575', 'p04094', 'p04154', 'p05637', 'p01526']","['L', 'I', 'O', 'J', 'M', 'G', 'H', 'D', 'C']",[0 0 1 1 0 0 1 1 1 1 0 1 1 0 1 0 0 0 0],p01799
"['E', 'N', 'O']",['p01420'],"['E', 'F', 'N', 'O']",[0 0 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 0 0],p01800
['D'],['p04881'],['D'],[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01803
"['D', 'C']","['p05514', 'p04993']","['D', 'C']",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01804
"['N', 'R', 'O']","['p01117', 'p03954', 'p05030']","['L', 'Q', 'E', 'F', 'N', 'J', 'H', 'D', 'R', 'O']",[0 0 0 1 1 1 0 1 0 1 0 1 0 1 1 0 1 1 0],p01805
"['G', 'E', 'D']","['p02194', 'p01209', 'p02288', 'p00351', 'p00724']","['K', 'L', 'G', 'E', 'O', 'I', 'H', 'D', 'C']",[0 0 1 1 1 0 1 1 1 0 1 1 0 0 1 0 0 0 0],p01806
"['G', 'E', 'L']","['p02750', 'p02489', 'p05058']","['G', 'E', 'L']",[0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01808
"['E', 'J', 'H', 'D', 'O']",[],"['E', 'J', 'H', 'D', 'O']",[0 0 0 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0],p01811
"['L', 'C']","['p00559', 'p03086', 'p00624']","['D', 'L', 'C']",[0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p01812
"['K', 'P', 'E', 'N', 'J', 'H', 'D', 'O']","['p05233', 'p03946', 'p00407', 'p01501', 'p03185']","['K', 'L', 'P', 'G', 'E', 'F', 'N', 'J', 'M', 'I', 'H', 'D', 'R', 'O']",[0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0],p01813
"['Z', 'D', 'C']",['p03358'],"['J', 'Z', 'D', 'C']",[0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1],p01814
"['G', 'F', 'J']","['p01515', 'p03890']","['G', 'F', 'J', 'C']",[0 0 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0],p01815
"['D', 'L']","['p00425', 'p04494']","['G', 'D', 'L']",[0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01816
