tags,hasConnection,level1_tags,coded_tags,idauthor
"['G', 'M', 'F']","['p01111', 'p05407', 'p02924', 'p03822', 'p04273', 'p01758']","['E', 'L', 'D', 'O', 'F', 'H', 'M', 'G', 'Z']",[0 1 1 1 1 1 0 0 0 1 1 0 1 0 0 0 1],p01127
"['E', 'L', 'D', 'O', 'F', 'J', 'G']","['p04869', 'p05437', 'p00583', 'p03346', 'p00882', 'p00247', 'p05543', 'p03467']","['E', 'L', 'D', 'O', 'F', 'M', 'J', 'C', 'G']",[1 1 1 1 1 0 0 1 0 1 1 0 1 0 0 0 0],p01128
"['D', 'J']","['p00940', 'p03596']","['D', 'J', 'I']",[0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p01129
"['E', 'Z', 'D', 'C']",['p02593'],"['E', 'D', 'C', 'G', 'Z']",[1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1],p01131
['E'],[],['E'],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01132
"['D', 'H', 'J', 'I']","['p02560', 'p01021']","['D', 'J', 'H', 'I']",[0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0],p01134
"['D', 'F', 'H', 'I', 'M', 'J']","['p04980', 'p01534', 'p05414']","['D', 'F', 'H', 'I', 'M', 'J', 'Z']",[0 1 0 1 0 1 1 1 0 0 1 0 0 0 0 0 1],p01135
"['O', 'H', 'I', 'M', 'J']","['p03206', 'p03798', 'p00079', 'p02968', 'p04298', 'p00655', 'p02794']","['E', 'L', 'D', 'O', 'H', 'I', 'M', 'J', 'G']",[0 1 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0],p01136
"['E', 'L', 'D', 'H', 'J', 'C']","['p01556', 'p03878', 'p04050', 'p01314', 'p02598', 'p01501', 'p04390', 'p03590']","['E', 'L', 'D', 'O', 'F', 'N', 'H', 'I', 'R', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 0],p01138
['O'],"['p04324', 'p04824']","['E', 'L', 'O', 'F', 'H', 'R']",[0 0 1 1 0 1 0 0 0 1 0 0 1 0 0 1 0],p01139
"['F', 'D', 'O']","['p02749', 'p01601', 'p00329', 'p04469']","['L', 'D', 'O', 'F', 'H', 'G']",[0 1 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0],p01140
"['E', 'C']",['p00927'],"['E', 'C']",[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01141
['I'],"['p01299', 'p02125']","['K', 'D', 'H', 'I', 'R', 'C']",[1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0],p01142
"['G', 'L']",['p01648'],"['G', 'L']",[0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01143
"['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'J', 'C', 'G', 'Z']","['p00109', 'p01376', 'p01198', 'p01655', 'p02321', 'p04327', 'p04103', 'p03902', 'p02062', 'p02796', 'p02371', 'p03775', 'p05150', 'p04305', 'p03509', 'p05396', 'p00244', 'p05493', 'p01881', 'p05363', 'p02186', 'p04914', 'p00170', 'p05191', 'p03171', 'p05091', 'p00765', 'p03048', 'p00193', 'p00518', 'p01455', 'p02789', 'p03838', 'p05405', 'p04276', 'p03578']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'M', 'R', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],p01145
"['G', 'L', 'D', 'C']","['p02013', 'p00750', 'p02984', 'p02867', 'p04807', 'p03107', 'p03927']","['L', 'D', 'H', 'C', 'G']",[1 1 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0],p01146
"['D', 'O', 'I', 'J', 'C']","['p00403', 'p00917']","['D', 'O', 'I', 'J', 'C']",[1 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0],p01147
"['L', 'D', 'O', 'P', 'F', 'N', 'H', 'R', 'C']","['p03383', 'p01031', 'p02245', 'p00476', 'p04623', 'p00320', 'p02069', 'p02244', 'p02705']","['E', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'R', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0],p01148
"['D', 'C']","['p04705', 'p05296', 'p02025', 'p05654', 'p04746']","['D', 'H', 'I', 'C', 'G']",[1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0],p01149
"['R', 'H', 'J']",[],"['R', 'J', 'H']",[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0],p01150
"['E', 'H']","['p02990', 'p03130', 'p00076', 'p02346']","['E', 'D', 'H', 'I', 'J', 'G']",[0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0],p01151
"['K', 'J']","['p01044', 'p05479']","['I', 'K', 'D', 'J']",[0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0],p01153
"['L', 'D', 'O', 'F', 'I', 'R', 'J']","['p02301', 'p01417', 'p00553', 'p03364', 'p00238', 'p01552', 'p00028', 'p03007', 'p00605', 'p04843']","['E', 'L', 'D', 'O', 'P', 'F', 'I', 'Q', 'R', 'J', 'C', 'Z']",[1 1 1 1 0 0 1 1 0 1 0 0 1 1 1 1 1],p01155
"['E', 'L', 'D', 'O', 'F', 'H', 'I', 'R', 'J']","['p03294', 'p00687', 'p04502', 'p00299', 'p01950', 'p01183', 'p01773']","['E', 'K', 'L', 'D', 'O', 'F', 'H', 'I', 'R', 'M', 'J', 'C', 'Z']",[1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 1 1],p01157
"['E', 'L', 'J']",['p01499'],"['E', 'L', 'D', 'O', 'F', 'H', 'J', 'G']",[0 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0],p01158
"['D', 'L', 'H']",[],"['H', 'L', 'D']",[0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],p01159
"['E', 'R', 'D']","['p05405', 'p01988', 'p02784']","['E', 'L', 'D', 'O', 'F', 'H', 'R', 'J', 'G']",[0 1 1 1 1 1 0 1 0 1 0 0 1 0 0 1 0],p01160
"['K', 'L', 'D', 'C']","['p05369', 'p03469', 'p05566']","['K', 'L', 'D', 'O', 'C']",[1 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0],p01162
"['P', 'L', 'D', 'G']","['p02595', 'p00206']","['P', 'L', 'D', 'G']",[0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0],p01165
"['E', 'L', 'D', 'J', 'C']",['p01955'],"['E', 'L', 'D', 'J', 'C']",[1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0],p01166
"['G', 'Q', 'L']",['p03932'],"['G', 'Q', 'L']",[0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0],p01167
"['E', 'D', 'H', 'I', 'J']","['p00779', 'p00055', 'p05219', 'p01733', 'p01279', 'p04037', 'p00289', 'p03113', 'p04390', 'p03945']","['E', 'K', 'L', 'D', 'O', 'N', 'H', 'I', 'R', 'J', 'C', 'G']",[1 1 1 0 1 1 1 1 1 1 0 1 1 0 0 1 0],p01169
"['D', 'J', 'I']","['p03585', 'p04569', 'p01566', 'p00671']","['D', 'H', 'I', 'R', 'J', 'C', 'G']",[1 1 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0],p01171
"['L', 'D', 'H', 'I', 'M']",['p03677'],"['L', 'D', 'F', 'H', 'I', 'M']",[0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0],p01172
"['Z', 'D']","['p00512', 'p03699']","['E', 'L', 'D', 'O', 'F', 'H', 'I', 'Q', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1],p01173
"['L', 'D', 'M', 'J', 'C']","['p02716', 'p02616']","['L', 'D', 'H', 'M', 'J', 'C']",[1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0],p01174
"['E', 'D', 'O', 'N', 'H', 'I', 'J', 'Z']","['p04165', 'p03598', 'p02547', 'p01647', 'p05193']","['E', 'D', 'O', 'F', 'N', 'H', 'I', 'J', 'C', 'Z']",[1 1 1 1 0 1 1 1 0 0 0 1 1 0 0 0 1],p01176
['C'],"['p02397', 'p02050', 'p01992', 'p04648']",['C'],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01177
"['J', 'I']",[],"['J', 'I']",[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p01178
['G'],['p04081'],['G'],[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01179
['D'],"['p04316', 'p01908', 'p04921']","['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01180
"['F', 'O']",['p01037'],"['R', 'F', 'E', 'O']",[0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0],p01181
"['E', 'J']",['p04147'],"['E', 'J']",[0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0],p01182
"['E', 'L', 'O', 'F', 'R', 'J']","['p01157', 'p01950']","['E', 'L', 'D', 'O', 'F', 'H', 'I', 'R', 'J']",[0 1 1 1 0 1 1 1 0 1 0 0 1 0 0 1 0],p01183
['D'],['p03141'],"['Z', 'D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],p01186
"['G', 'E', 'H']","['p00387', 'p03775', 'p05237']","['E', 'D', 'O', 'F', 'N', 'H', 'I', 'Q', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0],p01187
"['R', 'I']",['p03615'],"['R', 'I']",[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0],p01188
"['G', 'D', 'C']","['p00053', 'p05627', 'p03061']","['G', 'D', 'C']",[1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01189
"['R', 'N', 'L']","['p05454', 'p00951']","['K', 'L', 'D', 'N', 'R', 'G']",[0 1 0 0 1 0 0 0 1 1 0 1 0 0 0 1 0],p01191
"['D', 'C']",['p05417'],"['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01192
"['E', 'L', 'D', 'O', 'R', 'M', 'J']","['p04129', 'p00622']","['E', 'L', 'D', 'O', 'H', 'R', 'M', 'J']",[0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0],p01194
['E'],['p03912'],"['E', 'D', 'R', 'H']",[0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0],p01195
"['Q', 'D', 'J', 'O']","['p05363', 'p01145', 'p00432', 'p03171', 'p04276', 'p04486']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'Q', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1],p01198
"['D', 'F', 'Z', 'J']","['p05382', 'p00473', 'p05204', 'p00604', 'p02560', 'p03216', 'p00385']","['E', 'L', 'D', 'F', 'N', 'H', 'I', 'J', 'C', 'Z']",[1 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 1],p01201
"['F', 'L', 'J']","['p04212', 'p00177', 'p02274', 'p04430', 'p00880', 'p01859']","['E', 'L', 'D', 'O', 'F', 'I', 'J']",[0 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 0],p01202
"['E', 'D', 'H']","['p03912', 'p02698']","['E', 'D', 'H', 'R', 'C']",[1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0],p01204
"['R', 'Q', 'H']",['p02778'],"['L', 'F', 'H', 'I', 'Q', 'R']",[0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0],p01205
"['E', 'R', 'J', 'O']","['p03919', 'p03730', 'p00146', 'p01375']","['E', 'D', 'O', 'F', 'R', 'J']",[0 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0],p01208
"['G', 'E', 'L', 'D']","['p05524', 'p00724', 'p01806', 'p00351', 'p02288', 'p02002', 'p05035']","['E', 'L', 'D', 'F', 'H', 'I', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 0 1 0 0 0 0 0 0 0],p01209
['H'],"['p05559', 'p00763']","['K', 'O', 'P', 'N', 'H', 'Z']",[0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0 1],p01210
"['C', 'J', 'H', 'I']","['p01371', 'p02974']","['K', 'P', 'N', 'H', 'I', 'Q', 'J', 'C']",[1 0 0 0 0 1 1 1 1 0 0 1 0 1 1 0 0],p01212
"['D', 'C']",['p01385'],"['M', 'J', 'D', 'C']",[1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0],p01213
"['G', 'J', 'E', 'O']","['p03590', 'p00944', 'p01001', 'p01414']","['E', 'D', 'O', 'J', 'G']",[0 1 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0],p01214
"['G', 'C']","['p05082', 'p00239', 'p04729', 'p01743', 'p05312']","['E', 'L', 'D', 'O', 'P', 'H', 'R', 'J', 'C', 'G']",[1 1 1 0 1 1 0 1 0 1 0 0 1 1 0 1 0],p01215
"['H', 'C']",['p02624'],"['L', 'D', 'O', 'P', 'H', 'Q', 'J', 'C', 'Z']",[1 1 0 0 0 1 0 1 0 1 0 0 1 1 1 0 1],p01216
['J'],['p00736'],"['D', 'H', 'I', 'Q', 'J']",[0 1 0 0 0 1 1 1 0 0 0 0 0 0 1 0 0],p01218
"['K', 'L', 'D', 'R', 'G']","['p02399', 'p03101', 'p00420', 'p03304', 'p05409', 'p00056', 'p04280', 'p03334']","['K', 'L', 'D', 'R', 'C', 'G']",[1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0],p01219
"['G', 'E']",['p04372'],"['G', 'E']",[0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01220
"['E', 'D', 'R', 'J', 'G']","['p02533', 'p00716']","['E', 'D', 'R', 'J', 'G']",[0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0],p01222
['N'],"['p04208', 'p04276']","['E', 'K', 'L', 'D', 'O', 'P', 'N', 'H', 'Q', 'M', 'J', 'G']",[0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0],p01223
"['D', 'C']",['p03720'],"['M', 'L', 'D', 'C']",[1 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0],p01224
"['L', 'D', 'O', 'M', 'J']","['p02643', 'p00976', 'p00454', 'p05090', 'p00625', 'p03902']","['E', 'L', 'D', 'O', 'P', 'F', 'H', 'I', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0],p01225
"['Q', 'M', 'J', 'I']","['p05160', 'p01057', 'p03973', 'p01829', 'p02852']","['L', 'D', 'O', 'I', 'Q', 'M', 'J']",[0 1 0 0 0 0 1 1 0 1 1 0 1 0 1 0 0],p01228
"['L', 'D', 'H', 'M', 'C']","['p02882', 'p00890']","['L', 'D', 'H', 'M', 'C']",[1 1 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0],p01230
"['K', 'J']","['p04113', 'p02161']","['K', 'J']",[0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0],p01232
"['Q', 'O']",[],"['Q', 'O']",[0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0],p01235
"['D', 'C']","['p04470', 'p05404']","['P', 'D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],p01236
"['J', 'I']",['p04831'],"['J', 'I']",[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],p01237
"['H', 'K', 'J']","['p04110', 'p04419']","['K', 'L', 'H', 'R', 'J', 'C']",[1 0 0 0 0 1 0 1 1 1 0 0 0 0 0 1 0],p01238
"['E', 'J']","['p03902', 'p01660', 'p05252', 'p02268']","['E', 'K', 'L', 'D', 'O', 'F', 'H', 'I', 'M', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0],p01240
"['D', 'C']",[],"['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01241
"['D', 'C']","['p01385', 'p00392']","['M', 'J', 'D', 'C']",[1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0],p01242
"['D', 'C']","['p02624', 'p05055']","['K', 'L', 'D', 'O', 'P', 'H', 'I', 'Q', 'J', 'C', 'Z']",[1 1 0 0 0 1 1 1 1 1 0 0 1 1 1 0 1],p01244
"['E', 'N', 'H', 'G']",['p00918'],"['E', 'N', 'H', 'G']",[0 0 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0],p01247
"['G', 'L', 'D']",['p05342'],"['G', 'L', 'D', 'C']",[1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0],p01249
"['D', 'C']","['p00417', 'p01383', 'p02236', 'p01516', 'p00355']","['L', 'D', 'H', 'J', 'C']",[1 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0],p01252
"['M', 'H', 'J']","['p01501', 'p00623']","['E', 'L', 'D', 'F', 'N', 'H', 'I', 'R', 'M', 'J', 'G']",[0 1 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0],p01254
['J'],"['p03581', 'p03096']","['K', 'J', 'I']",[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0],p01255
"['R', 'D', 'G']","['p05197', 'p01260']","['L', 'D', 'O', 'F', 'N', 'R', 'J', 'G']",[0 1 0 1 1 0 0 1 0 1 0 1 1 0 0 1 0],p01258
"['L', 'D', 'O', 'P', 'H']","['p02327', 'p05557', 'p00586']","['L', 'D', 'O', 'P', 'H']",[0 1 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0],p01259
"['R', 'D', 'G']","['p05197', 'p01258']","['L', 'D', 'O', 'F', 'N', 'R', 'J', 'G']",[0 1 0 1 1 0 0 1 0 1 0 1 1 0 0 1 0],p01260
"['E', 'D', 'O', 'R', 'J']","['p05403', 'p00933', 'p00032', 'p02542', 'p05259', 'p03986']","['E', 'L', 'D', 'O', 'F', 'N', 'R', 'M', 'J', 'G', 'Z']",[0 1 1 1 1 0 0 1 0 1 1 1 1 0 0 1 1],p01262
"['E', 'L', 'D', 'O', 'F', 'N', 'R', 'G']","['p03985', 'p03531', 'p02484', 'p05030', 'p01355', 'p01018', 'p00895']","['E', 'L', 'D', 'O', 'P', 'F', 'N', 'R', 'J', 'G']",[0 1 1 1 1 0 0 1 0 1 0 1 1 1 0 1 0],p01263
"['D', 'H', 'R', 'Q', 'J']","['p03693', 'p02111']","['D', 'H', 'Q', 'R', 'J']",[0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 1 0],p01266
"['E', 'L', 'D', 'O', 'F', 'Q', 'R', 'Z']","['p02275', 'p05173', 'p01695', 'p02955']","['E', 'K', 'L', 'D', 'O', 'F', 'H', 'Q', 'R', 'Z']",[0 1 1 1 0 1 0 0 1 1 0 0 1 0 1 1 1],p01267
"['L', 'D', 'P', 'I', 'C']","['p01269', 'p02350', 'p05651', 'p03971']","['K', 'L', 'D', 'P', 'N', 'I', 'M', 'J', 'C', 'G', 'Z']",[1 1 0 0 1 0 1 1 1 1 1 1 0 1 0 0 1],p01268
"['D', 'P', 'N', 'I', 'J', 'Z']","['p03971', 'p05651', 'p01268', 'p02456', 'p02350']","['K', 'L', 'D', 'P', 'N', 'I', 'M', 'J', 'C', 'G', 'Z']",[1 1 0 0 1 0 1 1 1 1 1 1 0 1 0 0 1],p01269
"['E', 'H']","['p04478', 'p04305']","['E', 'D', 'O', 'P', 'F', 'H']",[0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0],p01270
['C'],"['p02063', 'p00201']","['G', 'D', 'C']",[1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],p01271
"['F', 'L', 'D']","['p04071', 'p03110', 'p04327']","['E', 'K', 'L', 'D', 'O', 'F', 'M', 'J', 'G']",[0 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 0],p01273
"['E', 'F', 'L']",['p01486'],"['E', 'L', 'F', 'H', 'R']",[0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 1 0],p01275
"['G', 'C']","['p04232', 'p04719']","['G', 'F', 'C']",[1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0],p01277
"['D', 'J', 'I']",['p01169'],"['E', 'D', 'H', 'I', 'J']",[0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0],p01279
"['L', 'D', 'O', 'Q', 'M', 'C', 'G', 'Z']","['p05143', 'p02624', 'p00973', 'p03881', 'p04809', 'p00422', 'p03405', 'p05474', 'p03792', 'p03486', 'p00033', 'p04568', 'p02217', 'p01442', 'p02711']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'H', 'I', 'Q', 'M', 'R', 'J', 'C', 'G', 'Z']",[1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1],p01280
"['G', 'D', 'O']","['p05525', 'p02481']","['G', 'D', 'O']",[0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0],p01284
"['D', 'C']",[],"['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01286
"['L', 'D']",['p04362'],"['K', 'L', 'D', 'O', 'N', 'H', 'Q', 'C', 'Z']",[1 1 0 0 0 1 0 0 1 1 0 1 1 0 1 0 1],p01289
"['D', 'O', 'H', 'I', 'Q', 'J', 'C']","['p02418', 'p00383', 'p01747', 'p02526', 'p01372', 'p03116', 'p04398', 'p01825', 'p01322', 'p04839']","['K', 'L', 'D', 'O', 'H', 'I', 'Q', 'J', 'C', 'Z']",[1 1 0 0 0 1 1 1 1 1 0 0 1 0 1 0 1],p01290
"['M', 'J']","['p03926', 'p00281']","['K', 'D', 'H', 'R', 'M', 'J']",[0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 1 0],p01291
"['D', 'C']",['p05538'],"['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01292
['C'],"['p05412', 'p02970']",['C'],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01293
"['E', 'L', 'C']",['p05683'],"['E', 'L', 'C']",[1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p01296
"['D', 'H', 'I', 'R', 'C']","['p00700', 'p02125', 'p05011', 'p01142', 'p04505']","['K', 'D', 'H', 'I', 'R', 'C']",[1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0],p01299
"['L', 'D']",['p04959'],"['L', 'D']",[0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],p01300
"['J', 'O']",['p01535'],"['H', 'I', 'J', 'O']",[0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0],p01301
"['E', 'H']",['p00724'],"['E', 'D', 'H', 'G']",[0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0],p01303
"['Q', 'H']",['p02242'],"['Q', 'H']",[0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0],p01306
"['J', 'I']","['p04317', 'p03201', 'p05142', 'p01820']","['E', 'L', 'D', 'O', 'N', 'I', 'J', 'G']",[0 1 1 0 1 0 1 1 0 1 0 1 1 0 0 0 0],p01308
"['N', 'D']","['p04101', 'p01880']","['G', 'N', 'D', 'I']",[0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0],p01309
"['Q', 'C', 'D', 'O']",['p03698'],"['D', 'O', 'H', 'Q', 'C', 'Z']",[1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1],p01310
"['L', 'D', 'C']","['p02906', 'p03021', 'p02887', 'p03617', 'p04976', 'p03287', 'p03922']","['E', 'L', 'D', 'P', 'H', 'I', 'M', 'J', 'C', 'G']",[1 1 1 0 1 1 1 1 0 1 1 0 0 1 0 0 0],p01311
"['D', 'H']","['p02203', 'p04129', 'p00837']","['E', 'L', 'D', 'O', 'H', 'R', 'M', 'J']",[0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 1 0],p01312
"['H', 'J', 'I']","['p03878', 'p02112', 'p01138', 'p02598', 'p01501', 'p04390', 'p01371']","['E', 'K', 'L', 'D', 'O', 'P', 'F', 'N', 'H', 'I', 'R', 'M', 'Q', 'J', 'C', 'G']",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0],p01314
"['E', 'O']","['p00568', 'p03448']","['G', 'E', 'J', 'O']",[0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 0],p01315
"['D', 'O', 'F', 'N', 'R', 'J', 'C']","['p02724', 'p03591', 'p01119', 'p04799', 'p01910', 'p04312', 'p02093', 'p03135', 'p03379']","['E', 'L', 'D', 'O', 'F', 'N', 'H', 'R', 'J', 'C', 'G']",[1 1 1 1 1 1 0 1 0 1 0 1 1 0 0 1 0],p01316
"['L', 'D', 'O', 'I', 'Q', 'J']","['p00783', 'p05161', 'p05156', 'p03388', 'p00319']","['E', 'L', 'D', 'O', 'H', 'I', 'Q', 'J']",[0 1 1 0 0 1 1 1 0 1 0 0 1 0 1 0 0],p01317
"['G', 'F', 'L', 'J']",['p03482'],"['E', 'L', 'D', 'F', 'J', 'C', 'G']",[1 1 1 1 1 0 0 1 0 1 0 0 0 0 0 0 0],p01321
"['Q', 'I', 'D', 'O']","['p04332', 'p01290']","['D', 'O', 'H', 'I', 'Q', 'J', 'C']",[1 1 0 0 0 1 1 1 0 0 0 0 1 0 1 0 0],p01322
"['G', 'D', 'J']","['p02447', 'p03587', 'p04195']","['L', 'D', 'I', 'M', 'J', 'C', 'G']",[1 1 0 0 1 0 1 1 0 1 1 0 0 0 0 0 0],p01323
"['G', 'E', 'O']","['p03176', 'p03968', 'p00239']","['E', 'L', 'D', 'O', 'H', 'R', 'G']",[0 1 1 0 1 1 0 0 0 1 0 0 1 0 0 1 0],p01324
"['M', 'L']","['p05558', 'p02841']","['E', 'M', 'L', 'J']",[0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0],p01326
"['D', 'K', 'H', 'O']",[],"['H', 'K', 'D', 'O']",[0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0],p01327
"['D', 'C']","['p03236', 'p04632']","['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01329
"['L', 'D', 'C']","['p02891', 'p00123', 'p05026', 'p00144', 'p00600']","['F', 'L', 'D', 'C']",[1 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0],p01331
['D'],['p03524'],"['D', 'C']",[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01332
"['E', 'D', 'H', 'I', 'G']","['p01654', 'p02053', 'p02814', 'p04938', 'p01677', 'p04709']","['E', 'D', 'O', 'F', 'H', 'I', 'G']",[0 1 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0],p01334
['E'],[],['E'],[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01335
['D'],['p04818'],['D'],[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],p01337
"['G', 'E', 'D', 'O']","['p00681', 'p02622']","['E', 'D', 'O', 'N', 'J', 'G']",[0 1 1 0 1 0 0 1 0 0 0 1 1 0 0 0 0],p01338
"['G', 'D']","['p03214', 'p02878']","['D', 'I', 'J', 'C', 'G']",[1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0],p01339
"['G', 'D', 'N', 'E']","['p04038', 'p02930', 'p03820', 'p00092']","['E', 'D', 'N', 'R', 'C', 'G']",[1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0],p01340
