tags,hasConnection,level1_tags,coded_tags,idauthor
['J'],"['p01733', 'p01169']","['E', 'D', 'H', 'I', 'J']",[0 1 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0],p00055
"['K', 'D']","['p01219', 'p03101']","['K', 'L', 'D', 'R', 'G']",[0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0],p00056
"['Z', 'D', 'C']","['p02549', 'p05376']","['D', 'Z', 'J', 'C']",[1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1],p00057
"['D', 'O', 'N', 'H', 'R', 'Q', 'J']","['p01891', 'p04895', 'p03808']","['D', 'O', 'N', 'H', 'R', 'Q', 'J']",[0 1 0 0 0 1 0 1 0 0 0 1 1 0 1 1 0],p00058
"['G', 'D', 'H', 'E']","['p03131', 'p05150', 'p04992']","['E', 'L', 'D', 'O', 'P', 'F', 'H', 'J', 'G']",[0 1 1 1 1 1 0 1 0 1 0 0 1 1 0 0 0],p00059
['J'],"['p01016', 'p03766', 'p04786']",['J'],[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],p00061
"['D', 'J', 'C']","['p00141', 'p03719']","['G', 'J', 'D', 'C']",[1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0],p00062
"['G', 'N']",['p05518'],"['G', 'N']",[0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0],p00064
"['P', 'E', 'H']",['p01438'],"['E', 'L', 'D', 'O', 'P', 'N', 'H', 'Q', 'J', 'Z']",[0 1 1 0 0 1 0 1 0 1 0 1 1 1 1 0 1],p00065
"['D', 'H', 'C']","['p03698', 'p00479']","['D', 'O', 'H', 'Q', 'C', 'Z']",[1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1],p00066
"['E', 'L']","['p00647', 'p04503']","['E', 'L', 'D', 'H', 'I', 'J']",[0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0],p00067
"['E', 'K', 'C', 'G', 'Z']","['p01585', 'p03742', 'p02338', 'p05229']","['E', 'K', 'L', 'D', 'M', 'J', 'C', 'G', 'Z']",[1 1 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1],p00070
"['P', 'Q', 'O']","['p01471', 'p03068', 'p03364']","['P', 'Q', 'F', 'O']",[0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 0],p00071
"['D', 'H']","['p01610', 'p03137']","['D', 'J', 'H']",[0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0],p00074
"['I', 'H', 'O']","['p02522', 'p00001', 'p02923']","['D', 'O', 'H', 'I', 'M', 'J', 'C']",[1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0],p00075
